,ind,salinity
0,360.0,0.0
1,723.0,0.0
2,1324.0,0.0
3,1389.0,0.0
4,1573.0,0.0
5,1616.0,0.0
6,3285.0,0.0
7,3449.0,0.0
8,3489.0,0.0
9,3635.0,0.0
10,3887.0,0.0
11,4109.0,0.0
12,4772.0,0.0
13,4887.0,0.0
14,5010.0,0.0
15,5164.0,0.0
16,6132.0,0.0
17,6281.0,0.0
18,7794.0,0.0
19,7853.0,0.0
20,7921.0,0.0
21,8014.0,0.0
22,8263.0,0.0
23,8268.0,0.0
24,8681.0,0.0
25,9440.0,0.0
26,10107.0,0.0
27,10168.0,0.0
28,10327.0,0.0
29,10652.0,0.0
30,11215.0,0.0
31,11994.0,0.0
32,12154.0,0.0
33,12761.0,0.0
34,12809.0,0.0
35,12821.0,0.0
36,13308.0,0.0
37,13327.0,0.0
38,13998.0,0.0
39,14780.0,0.0
40,14988.0,0.0
41,15164.0,0.0
42,15337.0,0.0
43,15386.0,0.0
44,16072.0,0.0
45,16363.0,0.0
46,16510.0,0.0
47,17750.0,0.0
48,18612.0,0.0
49,19596.0,0.0
50,19778.0,0.0
51,21018.0,0.0
52,21340.0,0.0
53,21826.0,0.0
54,22092.0,0.0
55,22316.0,0.0
56,22641.0,0.0
57,22826.0,0.0
58,23059.0,0.0
59,23250.0,0.0
60,23514.0,0.0
61,24022.0,0.0
62,24813.0,0.0
63,25315.0,0.0
64,25406.0,0.0
65,25747.0,0.0
66,28059.0,0.0
67,28160.0,0.0
68,29251.0,0.0
69,30241.0,0.0
70,30478.0,0.0
71,30675.0,0.0
72,30877.0,0.0
73,32033.0,0.0
74,32705.0,0.0
75,32719.0,0.0
76,32773.0,0.0
77,33155.0,0.0
78,33279.0,0.0
79,34174.0,0.0
80,34594.0,0.0
81,35320.0,0.0
82,36625.0,0.0
83,37772.0,0.0
84,38147.0,0.0
85,38218.0,0.0
86,38743.0,0.0
87,39263.0,0.0
88,39351.0,0.0
89,41698.0,0.0
90,42414.0,0.0
91,42717.0,0.0
92,42985.0,0.0
93,43069.0,0.0
94,43638.0,0.0
95,43715.0,0.0
96,44106.0,0.0
97,44121.0,0.0
98,44343.0,0.0
99,44643.0,0.0
