,ind,salinity
0,706.0,0.0
1,1167.0,0.0
2,1528.0,0.0
3,2819.0,0.0
4,3557.0,0.0
5,4329.0,0.0
6,4781.0,0.0
7,5586.0,0.0
8,6524.0,0.0
9,7691.0,0.0
10,8647.0,0.0
11,9024.0,0.0
12,9527.0,0.0
13,11028.0,0.0
14,11691.0,0.0
15,11758.0,0.0
16,11976.0,0.0
17,12072.0,0.0
18,12484.0,0.0
19,13619.0,0.0
20,13871.0,0.0
21,14237.0,0.0
22,14338.0,0.0
23,14964.0,0.0
24,16953.0,0.0
25,17352.0,0.0
26,17364.0,0.0
27,17774.0,0.0
28,18348.0,0.0
29,18633.0,0.0
30,18813.0,0.0
31,19014.0,0.0
32,19311.0,0.0
33,19709.0,0.0
34,20341.0,0.0
35,20451.0,0.0
36,20604.0,0.0
37,21177.0,0.0
38,22024.0,0.0
39,22566.0,0.0
40,23214.0,0.0
41,23566.0,0.0
42,24293.0,0.0
43,24373.0,0.0
44,24763.0,0.0
45,25224.0,0.0
46,25901.0,0.0
47,26654.0,0.0
48,27552.0,0.0
49,28043.0,0.0
50,28299.0,0.0
51,28832.0,0.0
52,29143.0,0.0
53,29417.0,0.0
54,30162.0,0.0
55,30567.0,0.0
56,30787.0,0.0
57,31897.0,0.0
58,32692.0,0.0
59,33491.0,0.0
60,33859.0,0.0
61,34286.0,0.0
62,35244.0,0.0
63,35472.0,0.0
64,37043.0,0.0
65,37093.0,0.0
66,37931.0,0.0
67,38458.0,0.0
68,39004.0,0.0
69,39066.0,0.0
70,40492.0,0.0
71,40771.0,0.0
72,41876.0,0.0
73,42649.0,0.0
74,42672.0,0.0
75,42829.0,0.0
76,43492.0,0.0
77,43863.0,0.0
